Species	Pathway Variant	Binary Phenotype
Lysinibacillus fusiformis	P1	1
Megamonas hypermegale	P1	1
Odoribacter laneus	P1	1
Parabacteroides distasonis	P1	1
Parabacteroides goldsteinii	P1	1
Parabacteroides gordonii	P1	1
Parabacteroides johnsonii	P1	1
Parabacteroides merdae	P1	1
Paraprevotella clara	P1	1
Paraprevotella xylaniphila	P1	1
Phascolarctobacterium faecium	P1	1
Phascolarctobacterium succinatutens	P1	1
Porphyromonas asaccharolytica	P1	1
Porphyromonas gingivalis	P1	1
Cutibacterium acnes	P1	1
Pyramidobacter piscolens	P1	1
Selenomonas sputigena	P1	1
-	P1	1
Tannerella forsythia	P1	1
Veillonella atypica	P1	1
Veillonella parvula	P1	1
Yokenella regensburgei	P1	1
Paraclostridium bifermentans	P12	1
Paeniclostridium sordellii	P12	1
Intestinimonas butyriciproducens	P123	1
Citrobacter freundii	P13	1
Terrisporobacter glycolicus	P13	1
Flavonifractor plautii	P13	1
Flavonifractor plautii	P13	1
Hafnia alvei	P13	1
Klebsiella michiganensis	P13	1
Veillonella dispar	P13	1
Veillonella seminalis	P13	1
Yersinia enterocolitica	P13	1
Anaerostipes caccae	P2	1
[Clostridium] asparagiforme	P2	1
Clostridioides difficile	P2	1
Clostridium pasteurianum	P2	1
Clostridium perfringens	P2	1
Clostridium sporogenes	P2	1
[Clostridium] symbiosum	P2	1
Clostridium tyrobutyricum	P2	1
Lachnoanaerobaculum saburreum	P2	1
Megasphaera elsdenii	P2	1
Peptostreptococcus anaerobius	P2	1
Clostridium beijerinckii	P23	1
Clostridium botulinum	P23	1
Clostridium cadaveris	P23	1
Eubacterium limosum	P23	1
Peptoniphilus indolicus	P23	1
Anaerococcus hydrogenalis	P3	1
Bacteroides xylanolyticus	P3	1
Blautia wexlerae	P3	1
Citrobacter koseri	P3	1
[Clostridium] bolteae	P3	1
[Clostridium] saccharolyticum	P3	1
[Clostridium] clostridioforme	P3	1
[Clostridium] hiranonis	P3	1
Eisenbergiella tayi	P3	1
Enterococcus avium	P3	1
Enterococcus raffinosus	P3	1
Escherichia fergusonii	P3	1
Atlantibacter hermannii	P3	1
[Eubacterium] hallii	P3	1
[Eubacterium] yurii	P3	1
Fusobacterium varium	P3	1
Klebsiella pneumoniae	P3	1
Lactobacillus brevis	P3	1
Lactobacillus reuteri	P3	1
Listeria monocytogenes	P3	1
Peptoniphilus asaccharolyticus	P3	1
Peptoniphilus harei	P3	1
Roseburia inulinivorans	P3	1
[Ruminococcus] gnavus	P3	1
Blautia obeum	P3	1
Salmonella enterica	P3	1
