Species	Pathway Variant	Binary Phenotype
Catenibacterium mitsuokai	-1	0
Cetobacterium somerae	P14 	1
Christensenella minuta	P12 	1
Citrobacter freundii	-1	0
Citrobacter koseri	-1	0
Kallipyga massiliensis	P13 	1
Clostridium acetobutylicum	P1 	1
Gottschalkia acidurici	-1	0
[Clostridium] asparagiforme	-1	0
Intestinibacter bartlettii	-1	0
Clostridium beijerinckii	P12 	1
Paraclostridium bifermentans	-1	0
[Clostridium] bolteae	-1	0
Clostridium botulinum	P1 	1
Clostridium butyricum	P1 	1
Clostridium cadaveris	P14 	1
Clostridium cellulovorans	P1 	1
[Clostridium] saccharolyticum	P13 	1
[Clostridium] clariflavum	-1	0
[Clostridium] clostridioforme	P1 	1
Clostridioides difficile	P12 	1
Terrisporobacter glycolicus	-1	0
Hungatella hathewayi	-1	0
[Clostridium] hiranonis	-1	0
[Clostridium] hylemonae	-1	0
[Clostridium] innocuum	P1 	1
[Clostridium] leptum	-1	0
Tyzzerella nexilis	-1	0
Flavonifractor plautii	P124 	1
Clostridium pasteurianum	P14 	1
Clostridium perfringens	P1 	1
Erysipelatoclostridium ramosum	-1	0
[Clostridium] scindens	-1	0
Clostridium septicum	P1 	1
Paeniclostridium sordellii	-1	0
[Clostridium] spiroforme	-1	0
Clostridium sporogenes	P1 	1
[Clostridium] symbiosum	P123 	1
Clostridium tyrobutyricum	P12 	1
Collinsella aerofaciens	-1	0
Collinsella intestinalis	-1	0
Collinsella stercoris	-1	0
Collinsella tanakaei	-1	0
Comamonas testosteroni	-1	0
Coprobacillus cateniformis	-1	0
Coprococcus comes	P1 	1
Coprococcus eutactus	P1 	1
Corynebacterium aurimucosum	-1	0
Desulfitobacterium hafniense	P1 	1
Halodesulfovibrio aestuarii	-1	0
Desulfovibrio piger	-1	0
Dialister invisus	-1	0
Dorea formicigenerans	-1	0
Dorea longicatena	-1	0
Dyadobacter fermentans	-1	0
Edwardsiella tarda	-1	0
Eggerthella lenta	-1	0
Eggerthia catenaformis	-1	0
Eisenbergiella tayi	P1 	1
Klebsiella aerogenes	-1	0
Enterobacter cloacae complex	-1	0
Enterococcus avium	-1	0
Enterococcus casseliflavus	-1	0
Enterococcus durans	-1	0
Enterococcus faecalis	-1	0
Enterococcus faecium	-1	0
Enterococcus hirae	-1	0
Enterococcus raffinosus	-1	0
Enterococcus saccharolyticus	-1	0
Escherichia coli	-1	0
Escherichia fergusonii	-1	0
Atlantibacter hermannii	-1	0
Holdemanella biformis	P1 	1
[Eubacterium] brachy	-1	0
[Eubacterium] cellulosolvens	P1 	1
Eubacterium coprostanoligenes	-1	0
Faecalitalea cylindroides	P1 	1
Absiella dolichum	P1 	1
[Eubacterium] hallii	P1 	1
Eubacterium limosum	P1 	1
Eubacterium ramulus	P14 	1
[Eubacterium] rectale	P1 	1
Lachnoanaerobaculum saburreum	P1 	1
[Eubacterium] saphenum	P12 	1
[Eubacterium] siraeum	-1	0
Eubacterium ventriosum	P1 	1
[Eubacterium] yurii	P13 	1
Faecalibacterium prausnitzii	P1 	1
Filifactor alocis	P13 	1
Finegoldia magna	-1	0
Flavonifractor plautii	P124 	1
Fusobacterium gonidiaformans	P134 	1
Fusobacterium mortiferum	P1 	1
Fusobacterium nucleatum	P134 	1
Fusobacterium varium	P134 	1
Gemella haemolysans	-1	0
Gemella sanguinis	-1	0
Gemmiger formicilis	P1 	1
